Sub-branch INTERRUPTED (thread 42, pair1 2 orient1 1 pair2 6 orient2 1): 3300330715 nodes, 6469384 C3-valid, 0 solutions, 476s elapsed
Sub-branch INTERRUPTED (thread 46, pair1 2 orient1 1 pair2 9 orient2 0): 3300330719 nodes, 0 C3-valid, 0 solutions, 476s elapsed
Sub-branch INTERRUPTED (thread 9, pair1 2 orient1 0 pair2 18 orient2 1): 3300330742 nodes, 0 C3-valid, 0 solutions, 476s elapsed
Sub-branch INTERRUPTED (thread 23, pair1 2 orient1 0 pair2 25 orient2 1): 3300330726 nodes, 0 C3-valid, 0 solutions, 476s elapsed
Sub-branch INTERRUPTED (thread 2, pair1 2 orient1 0 pair2 15 orient2 0): 3300330743 nodes, 0 C3-valid, 0 solutions, 477s elapsed
Sub-branch INTERRUPTED (thread 11, pair1 2 orient1 0 pair2 19 orient2 1): 3300330736 nodes, 0 C3-valid, 0 solutions, 478s elapsed
Sub-branch INTERRUPTED (thread 63, pair1 2 orient1 1 pair2 18 orient2 1): 3300330733 nodes, 0 C3-valid, 0 solutions, 478s elapsed
Sub-branch INTERRUPTED (thread 60, pair1 2 orient1 1 pair2 17 orient2 0): 3300330721 nodes, 0 C3-valid, 0 solutions, 479s elapsed
Sub-branch INTERRUPTED (thread 16, pair1 2 orient1 0 pair2 22 orient2 0): 3300330745 nodes, 773936 C3-valid, 0 solutions, 479s elapsed
Sub-branch INTERRUPTED (thread 12, pair1 2 orient1 0 pair2 20 orient2 0): 3300330670 nodes, 0 C3-valid, 0 solutions, 480s elapsed
Sub-branch INTERRUPTED (thread 26, pair1 2 orient1 0 pair2 27 orient2 1): 3300330728 nodes, 0 C3-valid, 0 solutions, 481s elapsed
Sub-branch INTERRUPTED (thread 51, pair1 2 orient1 1 pair2 12 orient2 1): 3300330710 nodes, 0 C3-valid, 0 solutions, 481s elapsed
Sub-branch INTERRUPTED (thread 37, pair1 2 orient1 1 pair2 3 orient2 1): 3300330724 nodes, 1235348 C3-valid, 0 solutions, 481s elapsed
Sub-branch INTERRUPTED (thread 13, pair1 2 orient1 0 pair2 20 orient2 1): 3300330747 nodes, 0 C3-valid, 0 solutions, 482s elapsed
Sub-branch INTERRUPTED (thread 10, pair1 2 orient1 0 pair2 19 orient2 0): 3300330732 nodes, 0 C3-valid, 0 solutions, 483s elapsed
Sub-branch INTERRUPTED (thread 57, pair1 2 orient1 1 pair2 15 orient2 1): 3300330734 nodes, 0 C3-valid, 0 solutions, 483s elapsed
